persuadee persuader relationship
宗亲-臣
君-臣
军阀-下级
君-臣
君-臣
君-臣
将-下级
君-宗亲
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-宗亲
君-外戚
君-伶人
将-下级
君-臣
君-臣
君-皇子
宗亲-臣
臣-臣
君-宗亲
君-宗亲
宗亲-臣
君-臣
君-臣
君-臣
君-宗亲
君-臣
君-臣
君-臣
君-臣
军阀-下级
宗亲-臣
君-臣
君-臣
君-臣
君-臣
君-宗亲
君-宗亲
君-臣
宗亲-臣
宗亲-臣
君-臣
君-臣
君-臣
君-臣
君-宗亲
君-臣
君-臣
君-臣
君-臣
君-臣
首领-下级
君-臣
君-臣
君-臣
父-子
将-下级
宗亲-臣
君-臣
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-宗亲
将-下级
将-下级
君-臣
将-下级
将-下级
君-宗亲
君-宗亲
不明
将-下级
君-臣
宗亲-臣
君-臣
君-臣
宗亲-臣
太后-宗亲
君-臣
太后-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
NA
君-臣
君-臣
君-臣
太后-臣
太后-臣
太后-臣
太后-臣
君-臣
臣-下级
君-臣
不明
军阀-下级
军阀-下级
君-臣
太后-外戚
宗亲-臣
君-宗亲
君-宗亲
将-下级
君-臣
将-下级
君-臣
将-下级
将-下级
将-下级
君-宗亲
将-下级
权臣-下级
权臣-下级
君-臣
权臣-下级
君-臣
权臣-下级
君-臣
君-宗亲
权臣-下级
君-臣
君-臣
君-臣
将-下级
君-臣
臣-下级
将-下级
皇子-臣
君-臣
君-臣
君-臣
夫-妾
父-子
将-下级
将-下级
宗亲-臣
君-臣
权臣-下级
君-臣
将-下级
君-臣
太后-外戚
宗亲-臣
君-宗亲
君-宗亲
太后-宗亲
君-臣
君-臣
君-臣
君-臣
权臣-下级
宗亲-臣
君-臣
君-臣
君-臣
君-臣
权臣-下级
君-臣
将-下级
君-臣
君-臣
太后-臣
太后-臣
将-下级
君-宗亲
权臣-下级
权臣-下级
君-宗亲
君-臣
君-臣
君-臣
皇子-臣
君-臣
君-臣
君-臣
宗亲-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
权臣-下级
权臣-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
权臣-下级
君-臣
君-臣
君-臣
君-臣
君-皇子
君-臣
君-臣
君-臣
君-臣
君-臣
宗亲-臣
君-臣
君-臣
君-臣
皇子-臣
宗亲-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
皇子-臣
皇子-臣
皇子-臣
皇子-臣
君-臣
皇子-臣
皇子-臣
皇子-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-妃
军阀-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
皇子-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-宗亲
君-臣
君-臣
皇子-臣
君-臣
君-臣
君-臣
臣-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
军阀-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-皇子
太后-臣
君-臣
君-臣
君-臣
首领-下级
君-臣
将-下级
君-臣
君-臣
君-臣
君-臣
君-臣
军阀-臣
君-后/夫-妻
父-子
君-后/夫-妻
君-臣
君-臣
君-臣
君-臣
兄-弟
君-臣
军阀-宦官
军阀-宦官
将-下级
将-下级
君-臣
夫-妻
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-宗亲
君-宗亲
夫-妻/君-后
君-臣
皇子-臣
君-臣
君-臣
君-臣
太后-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-宗亲
君-臣
君-宗亲
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
父-子
君-臣
君-臣
君-臣
臣-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
太后-臣
将-下级
君-臣
君-臣
宗亲-百姓
将-下级
君-臣
君-臣
君-臣
将-下级
叔-侄
君-臣
将-下级
君-臣
君-臣
父-子/君-皇子
君-宗亲
君-臣
君-臣
君-宗亲
君-宗亲
君-宗亲
宗亲-臣
君-臣
君-臣
君-臣
宗亲-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
父-子/君-皇子
将-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
父-子/君-皇子
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
君-臣
权臣-下级
皇子-臣
君-宦官
父-子/君-皇子
君-臣
夫-妻/君-后
夫-妻/君-后
君-臣
将-下级
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
君-臣
将-下级
君-臣
君-臣
将-下级
君-臣
